microsample	total_sequences	total_trimmed_sequences	percent_gc	percent_unique	reads_mapped_host_percent	reads_mapped_human_percent	reads_mapped_bacteria	reads_mapped_bacteria_percent	reads_mapped_other_percent	quality
M300664	36915784	28862292	55.25	48.43263563493382	0.065	28.44	2447127	12.107638605664082	87.89236139433592	3
M300665	5290016	1431058	66.75	21.377668272865208	0.24	2.9299999999999997	962676	69.82432095620382	30.17567904379618	1
M300666	63324914	58819728	52	72.29257953163294	0.06	0	50472586	85.9263432741795	14.073656725820499	5
M300667	6055878	566024	73.75	11.736289463127504	0.06	7.5649999999999995	1758	0.3755818167014239	99.62441818329857	0
M300668	61338584	41477732	58	55.472842257312564	0.015	0.03	35643154	86.03459853499642	13.96540146500358	5
M300669	54514270	43433166	54.75	58.67836806554001	0	0.01	37328233	86.00302358778393	13.996976412216071	5
M300670	45407100	38665582	54.5	44.691611830416555	0.275	0.04	32477628	84.31469812256239	15.68530187743761	5
M300671	45531580	43794514	51	64.15024536072659	0.17	0.01	37543257	85.9137331489552	14.086266851044797	5
M300672	54409810	51019048	52	52.984747327667975	0	0.02	44033491	86.37093138897126	13.629068611028742	5
M300673	42141018	39433208	51.75	56.14966898047017	0.005	0.02	33991817	86.28713774570384	13.712862254296155	5
M300674	51504182	49262526	52	76.10702598356878	0.895	0.06	42092996	86.32556891468826	13.674431085311738	5
M300675	69202904	65273680	51.25	67.07232835644277	0.005	0.01	55841859	85.62427345150267	14.375726548497326	5
M300676	58185716	26268908	63	37.844672353694534	4.215	0.10500000000000001	20243480	80.69256544346806	19.307434556531945	4
M300677	28518462	2036060	73.25	10.022681616726771	0.01	0.03	1741851	85.63297394855559	14.367026051444412	3
M300678	92309034	60435832	59.25	51.07476192029748	0.005	0.01	52512660	86.95455043872735	13.045449561272648	5
M300679	46436914	42066268	53.5	71.74939845858822	0.12	0.01	36095375	85.95931992334404	14.04068007665596	5
M300680	59197000	44417406	57.25	64.60704249158496	0.02	0.01	38338964	86.3849020443231	13.615097955676902	5
M300681	2423634	1863068	60.75	40.15852838513116	23.925	6.175	219572	16.75689418479317	83.24310581520683	1
M300682	6681556	1428956	70.5	16.7478722529502	0.05	2.01	1115283	79.92226397969964	20.077736020300364	2
M300683	43111852	41779666	50.25	60.92425491355803	0.005	0.01	35982774	86.20629197418279	13.79370802581721	5
M300684	46239638	44801106	51	59.11757456763652	0.005	0.02	38137849	85.20776474549086	14.792235254509137	5
M300685	55912892	53439826	53	74.65876824410608	0.03	71.65	69388	0.49532805677742153	99.50467194322258	3
M300686	1708878	1532478	60	39.161838796795	0.12	9.135000000000002	135363	9.850251722484169	90.14974827751583	1
M300687	47124410	45492512	51.25	66.20983772244382	0.315	0.03	38830305	85.7045977058884	14.295402294111597	5
M300688	49889164	48187998	51.25	61.821278003179216	0.01	0.02	41556167	86.31571754065007	13.68428245934993	5
M300689	39696258	38249730	51	61.94391611801935	0	0.03	32840314	85.94210324555807	14.057896754441927	5
M300690	40614850	38859582	50	61.955382177532094	0.165	0.15	32803689	84.76267443242521	15.237325567574786	5
M300691	75777878	73779062	51	71.80683456324371	0	0.01	63040423	85.49603495645653	14.503965043543474	5
M300692	62707874	60233846	51	59.05198161939741	0.03	0.025	51594144	85.75461989074955	14.245380109250448	5
M300693	542854	371812	63.5	44.012585280601584	0.115	11.145	1151	0.2896601633224165	99.71033983667758	1
M300694	16299960	15682520	51.25	78.40801875066191	0.005	0.04	13473251	86.02543503220852	13.97456496779148	5
M300695	64256154	61826690	51.5	53.032462770611644	0.005	0.02	53264900	86.23309251943148	13.76690748056852	5
M300696	39178952	38219068	51	75.27455918511724	0	0.02	32928135	86.22473306167319	13.775266938326808	5
M300697	25197460	24517896	51	66.88894618341166	0	0.03	21017881	85.79101967444964	14.208980325550357	5
M300698	113369844	108608304	43	93.22023674415058	91.305	0.38	5141305	59.434216113381524	40.565783886618476	4
M300699	181547320	174016470	42.75	92.20814081152392	90.25999999999999	0.365	10003711	63.48093600596664	36.51906399403336	4
M300700	150316378	143241930	44.5	91.48632273539374	88.53	0.39	9260694	61.023824592757094	38.976175407242906	4
M300701	152640832	145441250	46.25	91.9156495077076	91.89500000000001	0.44	4429441	43.00093351494603	56.99906648505397	4
M300702	299718	6688	74.25	13.578206171454259	0.53	20.33	1171	22.169632714880727	77.83036728511928	0
M300703	289410	0	74.25	14.453590819625653	NA	NA	0	NA	NA	NA
M300704	16023182	3134106	69.85714285714286	29.6624220238095	0.73	0.06714285714285714	2728530	75.41365502495512	24.58634497504488	3
M300705	17662348	4067442	69.71428571428571	33.19468409177853	0.032857142857142856	0.04571428571428572	3499484	74.41284005420292	25.587159945797083	2
