first	second	richness	neutral	phylogenetic
M300801	M301039	0.09090909090909083	0.022632823151384374	0.004643165534560456
M300801	M301041	0.03896103896103886	0.0589751422217244	0.011914035249235955
M300801	M301044	0.4358974358974359	0.5401364243925588	0.11599667418581727
M300801	M301045	0.42399999999999993	0.5270198860377188	0.11996098999255478
M300801	M301046	0.4545454545454546	0.538726280378425	0.12296133231123307
M300801	M301048	0.4736842105263157	0.555281181743474	0.1362551386170764
M300801	M301049	0.41085271317829464	0.5276333147714694	0.12068849494696776
M300801	M301050	0.39534883720930236	0.5227429870286137	0.1175214735999246
M300801	M301051	0.4444444444444444	0.5367610634699075	0.12646337749621073
M300801	M301052	0.43999999999999995	0.5355657757596599	0.12283668734951225
M300801	M301054	0.4263565891472869	0.5315862523315515	0.12162359500092734
M300801	M301055	0.9506172839506175	0.9093545568543308	0.24065669200597295
M300801	M301057	0.47899159663865554	0.5467369968845273	0.12334379311308041
M300801	M301058	0.41085271317829464	0.5273264407138382	0.11740580143273116
M300801	M301059	0.4285714285714286	0.5381760690024185	0.11755955271757779
M300801	M301060	0.4453781512605042	0.5424452051507674	0.12380281994628684
M300801	M301063	0.3834586466165413	0.5178433626249234	0.11495965394953622
M300801	M301064	0.4736842105263157	0.5445321458173893	0.1298774857710523
M300801	M301065	0.39682539682539675	0.52294365856485725	0.11836639979179575
M300801	M301068	0.40909090909090917	0.5234500118438005	0.11378995776407275
M300801	M301069	0.41538461538461546	0.523608441411092	0.11481181106248539
M300801	M301070	0.4218749999999998	0.5336102309534332	0.11885780652853772
M300801	M301072	0.4285714285714286	0.5315425742669955	0.12016682737258799
M300801	M301073	0.43333333333333335	0.5364670261785134	0.12086364991858145
M300801	M301075	0.41538461538461546	0.5319708257924459	0.11984017664794722
M300801	M301076	0.43999999999999995	0.5334170298052074	0.11643314377877234
M300801	M301077	0.43089430894308944	0.5308099544032566	0.11852878943355871
M300801	M301079	0.3984962406015038	0.5223705199529666	0.11402198570943856
M300801	M301080	0.3834586466165413	0.5217168059024943	0.11220625824862418
M300801	M301081	0.3880597014925373	0.5189315957026286	0.11321644274969833
M300801	M301082	0.4406779661016951	0.546513496457559	0.12205407611045171
M300801	M301084	0.4406779661016951	0.5391306827221629	0.12112845947702722
M300801	M301085	0.435483870967742	0.5340322268297752	0.11265980081755678
M300801	M301086	0.9506172839506175	0.9123608261506722	0.2414215412122538
M300801	M301087	0.4655172413793103	0.5535018926058262	0.1255765783699926
M300801	M301089	0.3834586466165413	0.5223938482577101	0.11518027353604798
M300801	M301090	0.752808988764045	0.30490144465406743	0.07981810300960712
M300801	M301092	0.08176100628930816	0.027228399879668297	0.009034334251221687
M300801	M301093	0.05263157894736836	0.0229228036248601	0.006510717050364212
M300801	M301094	0.19999999999999996	0.07167043334073686	0.017119189232919774
M300801	M301095	0.1063829787234043	0.0366622909733777	0.011547621686555098
M300801	M301097	0.12056737588652489	0.058684337506894946	0.009914584614907684
M300801	M301098	0.8352941176470585	0.5353904849628095	0.20611698012706303
M300801	M301101	0.4579439252336448	0.1354986096675702	0.03370617610671056
M300801	M301102	0.08875739644970415	0.025991631013999594	0.007379362364877018
M300801	M301103	0.06666666666666665	0.022257395790331147	0.005473099695589845
M300801	M301104	0.07317073170731714	0.025825251185566445	0.008255329748811824
M300801	M301107	0.06748466257668717	0.03179084838424473	0.006073276499172331
M300801	M301109	0.07784431137724557	0.026844925514026396	0.009132216836177154
M300801	M301110	0.0738255033557047	0.031443599634323305	0.008140631422937972
M300801	M301111	0.05521472392638027	0.01561583643147979	0.0024824922663401194
M300801	M301112	0.05660377358490565	0.02614122393234286	0.0098143337375588
M300801	M301113	0.08333333333333326	0.022654586262480625	0.0040564456803712234
M300801	M301114	0.9499999999999997	0.8671026367815344	0.3057451686003885
M300801	M301115	0.11627906976744184	0.02422248648388814	0.005103623658232692
M300801	M301118	0.06024096385542177	0.028651570943507565	0.00877644953744916
M300801	M301119	0.06024096385542177	0.022321581863914308	0.008720513245282113
M300801	M301121	0.03797468354430378	0.01498672180494709	0.0035188535580176206
M300801	M301122	0.08235294117647052	0.023117579256666798	0.006204451963900404
M300801	M301124	0.07784431137724557	0.02852314433810965	0.007807137540971509
M300801	M301126	0.07878787878787885	0.034104349389770805	0.007476520014665811
M300801	M301128	0.08235294117647052	0.025008251174906126	0.006926420758548213
M300801	M301129	0.3504273504273505	0.173991223868883	0.06248724648278037
M300801	M301130	0.10982658959537561	0.03331525601942642	0.011210169011487192
M300801	M301133	0.06586826347305386	0.024460107930333708	0.00851264104943883
M300801	M301134	0.7333333333333334	0.2782074056015582	0.07073226280353762
M300801	M301136	0.042944785276073594	0.015696141821300746	0.003866058421011176
M300801	M301137	0.03750000000000009	0.011775358643606348	0.0020570930708599944
M300801	M301140	0.7752808988764044	0.6787322373914046	0.19823577842996487
M300801	M301141	0.3834586466165413	0.5158383527661671	0.11501122493391946
M300801	M301142	0.7173913043478262	0.632599757311183	0.17036370499603526
