sequence_id	M301474.lib1	M301475.lib1	M301476.lib1	M301477.lib1	M301478.lib1	M301479.lib1	M301480.lib1	M301481.lib1	M301482.lib1	M301483.lib1	M301484.lib1	M301485.lib1	M301486.lib1	M301487.lib1	M301488.lib1	M301489.lib1	M301490.lib1	M301491.lib1	M301492.lib1	M301493.lib1	M301494.lib1	M301495.lib1	M301496.lib1	M301497.lib1	M301498.lib1	M301499.lib1	M301500.lib1	M301501.lib1	M301502.lib1	M301503.lib1	M301504.lib1	M301505.lib1	M301506.lib1	M301507.lib1	M301508.lib1	M301509.lib1	M301510.lib1	M301511.lib1	M301512.lib1	M301513.lib1	M301514.lib1	M301515.lib1	M301516.lib1	M301517.lib1	M301518.lib1	M301519.lib1	M301520.lib1	M301521.lib1	M301522.lib1	M301523.lib1	M301524.lib1	M301525.lib1	M301526.lib1	M301527.lib1	M301528.lib1	M301529.lib1	M301530.lib1	M301531.lib1	M301532.lib1	M301533.lib1	M301534.lib1	M301535.lib1	M301536.lib1	M301537.lib1	M301538.lib1	M301539.lib1	M301540.lib1	M301541.lib1	M301542.lib1	M301543.lib1	M301544.lib1	M301545.lib1	M301546.lib1	M301547.lib1	M301548.lib1	M301549.lib1	M301550.lib1	M301551.lib1	M301552.lib1	M301553.lib1	M301554.lib1	M301555.lib1	M301556.lib1	M301557.lib1	M301558.lib1	M301559.lib1	M301560.lib1	M301561.lib1	M301562.lib1	M301563.lib1	M301564.lib1	M301565.lib1	M301566.lib1	M301567.lib1	M301568.lib1	M301569.lib1
GPB:bin_000032	27002	8	24637	23776	30405	5	30612	14149	23626	6750	28103	19133	23864	30482	82	34382	33904	16068	38	35557	33218	32	38413	23670	116	31474	521	13360	54	44669	40770	33113	9697	361	16054	26363	21128	1547	13	72576	47103	26991	31611	43	1733	6013	32	30496	20584	21089	24531	641	42832	29074	29994	0	33280	35904	37935	92	1317	28191	48571	27119	30713	45	63938	45588	20258	109	22516	28542	30	25387	18358	70637	138	39359	14	29314	10881	15708	19997	16206	37	81	35722	67804	4601	82	28408	43475	35435	44043	21	51043
GPB:bin_000033	54694	12	53894	50545	62660	8	46322	29233	46286	12593	45988	40870	42602	48709	120	48515	50563	45788	335	48989	53012	199	70064	61250	145	51480	760	26289	91	56040	50539	51802	58469	687	48168	51806	54615	6628	22	57133	47773	35492	30685	119	1086	17808	561	47942	48096	43094	44700	539	80790	46233	35933	4	58764	67074	60262	586	2850	59803	66299	48016	46826	17	56776	54595	51555	108	52419	73358	46	54878	59119	72614	1411	56932	33	41932	43972	50893	63530	48028	58	132	53837	42583	48069	107	48275	52849	51316	49471	49	38881
GPB:bin_000034	16994	0	13912	12558	16287	0	15766	14853	15793	3358	18436	13535	13566	16608	69	14770	22673	21239	117	21011	18432	9	34311	18365	44	19946	227	6990	75	20593	15450	12706	12477	21	14761	24093	11779	2312	11	21404	11454	9341	5824	46	336	4244	224	12766	13677	13142	13338	157	23228	15606	15392	0	16401	22484	17757	151	522	21329	23830	18592	12174	8	20311	22575	13824	104	18289	22746	13	16029	15085	35942	476	24725	9	15737	13973	13457	13600	8479	23	199	13664	10864	12149	42	25505	22267	10464	10852	24	14056
GPB:bin_000035	578983	270	542211	578051	590790	66	518451	712724	612882	275472	627034	600976	569572	556337	1324	510104	621215	506030	5251	687015	798917	660	1029003	770475	2564	519567	16003	283901	1152	746669	479247	586586	553285	16008	477781	609489	585169	185283	428	497524	832852	434024	221510	1718	143275	147303	5706	462480	495339	500595	560360	5349	909594	581659	487160	60	658765	822838	817912	8296	27444	625625	671495	784858	483261	230	631722	566088	732030	3218	648406	855603	1163	688911	616123	756307	7590	640455	269	471982	681909	594186	947881	1453692	758	2159	634064	703433	288421	1269	718647	733735	473104	501387	598	362255
GPB:bin_000036	30683	28	29993	27137	33236	0	26487	15416	24395	6906	24806	23873	24136	31117	81	28631	31779	28993	158	27644	28113	34	39907	30614	103	28851	217	15924	33	29987	27097	31885	32586	430	33025	29481	29195	3718	16	25765	26791	17911	17366	61	803	8184	72	30766	26330	23600	24921	241	44076	26842	20995	6	33250	35809	33193	260	1865	33858	34660	28362	26362	15	29098	28624	27389	51	30527	42820	44	34086	29543	42166	635	31209	9	22922	33175	22905	38422	23781	36	89	23627	24028	57991	64	39213	28898	23999	28560	15	23485
GPB:bin_000037	49838	34	46052	44934	51513	0	42056	32965	46486	12109	47603	42061	42031	46916	91	50470	50761	43311	369	53348	52260	43	69148	55782	188	55131	551	24989	126	51785	48918	50842	62663	2238	46203	55844	44543	12150	53	49118	49853	34636	27780	277	3289	13113	257	46773	40487	41261	44894	425	75935	48749	37433	5	56753	66332	57403	680	1824	55912	71376	49448	47861	30	56510	55797	50732	193	48019	73308	98	56827	59395	72287	624	57686	19	40406	43413	49413	59624	40169	42	234	47641	46558	32484	101	56890	52088	49594	50068	43	34378
GPB:bin_000038	18352	3	16169	15997	15108	2	15087	22219	16740	9879	19217	13859	17534	12726	75	15923	24487	13258	286	26282	25018	148	36162	27247	372	15987	148	7190	201	25012	32963	18081	28487	1638	14242	17840	19410	2741	263	18218	9525	15979	9974	32	172	9854	303	16587	17663	13858	13542	275	28315	17384	15543	1	20937	25351	19093	177	730	17570	16670	19232	18500	128	21579	22847	22349	365	18921	25663	466	20130	20534	21573	219	20219	146	16375	41742	15029	25100	16663	186	217	17342	35920	9852	361	32146	15796	23411	16376	21	16149
GPB:bin_000039	2633	0	2627	2456	2727	0	2296	2084	2405	729	2681	2297	2347	2273	30	2551	2933	2250	4	2660	2665	42	4081	2703	11	2755	80	1456	9	2770	2938	2548	3420	1	2563	2954	2444	258	4	2112	2225	1666	1336	4	434	547	4	2345	2346	2352	2321	27	4097	2482	2032	0	3265	3661	2954	55	171	3086	3149	2659	2650	0	2662	2660	2901	6	2936	3801	2	3391	3054	4119	84	3177	0	2243	3427	2542	3466	1561	0	7	2688	2658	3204	2	3016	2201	2516	2938	0	2535
GPB:bin_000040	550	2	546	453	684	0	489	141	458	113	526	489	438	610	0	490	628	506	44	537	617	0	854	478	0	767	0	57	2	628	580	681	684	0	466	761	344	418	0	156	484	448	112	2	2	48	2	240	448	484	498	0	897	503	422	0	630	775	512	25	20	531	563	437	684	0	530	750	627	2	431	777	1	622	553	711	0	617	0	362	388	383	759	252	0	6	351	440	534	6	650	506	624	541	0	149
GPB:bin_000041	13569	16	9682	9888	10107	2	6750	7615	9997	2001	9150	9667	10265	10664	10	9967	10113	18449	6	14257	9250	22	10517	8778	53	7568	134	13180	20	15097	28139	16347	25644	214	6560	7748	2737	81	0	29636	34	46	35	17	64	8766	14	9643	8180	9049	8246	19	17195	11934	9309	2	8625	16308	11562	100	458	10349	9593	9041	8821	4	3230	12190	15333	165	17962	14523	5	7572	10845	14618	120	1388	6	9940	7799	7073	11949	9328	6	16	9590	20249	4622	41	13943	280	273	13054	41	26763
