sequence_id	M301570.lib1	M301571.lib1	M301572.lib1	M301573.lib1	M301574.lib1	M301575.lib1	M301576.lib1	M301577.lib1	M301578.lib1	M301579.lib1	M301580.lib1	M301581.lib1	M301582.lib1	M301583.lib1	M301584.lib1	M301585.lib1	M301586.lib1	M301587.lib1	M301588.lib1	M301589.lib1	M301590.lib1	M301591.lib1	M301592.lib1	M301593.lib1	M301594.lib1	M301595.lib1	M301596.lib1	M301597.lib1	M301598.lib1	M301599.lib1	M301600.lib1	M301601.lib1	M301602.lib1	M301603.lib1	M301604.lib1	M301605.lib1	M301606.lib1	M301607.lib1	M301608.lib1	M301609.lib1	M301610.lib1	M301611.lib1	M301612.lib1	M301613.lib1	M301614.lib1	M301615.lib1	M301616.lib1	M301617.lib1	M301618.lib1	M301619.lib1	M301620.lib1	M301621.lib1	M301622.lib1	M301623.lib1	M301624.lib1	M301625.lib1	M301626.lib1	M301627.lib1	M301628.lib1	M301629.lib1	M301630.lib1	M301631.lib1	M301632.lib1	M301633.lib1	M301634.lib1	M301635.lib1	M301636.lib1	M301637.lib1	M301638.lib1	M301639.lib1	M301640.lib1	M301641.lib1	M301642.lib1	M301643.lib1	M301644.lib1	M301645.lib1	M301646.lib1	M301647.lib1	M301648.lib1	M301649.lib1	M301650.lib1	M301651.lib1	M301652.lib1	M301653.lib1	M301654.lib1	M301655.lib1	M301656.lib1	M301657.lib1	M301658.lib1	M301659.lib1	M301660.lib1	M301661.lib1	M301663.lib1	M301664.lib1
GPB:bin_000125	3067435	3048296	2877055	3051284	11622	22030	2442632	3434332	2872084	2217959	2300618	25416	2406020	1956323	2747085	6259	7895	2339552	2227617	3312194	44114	1711674	7147	3226097	3155888	2998435	31281	1905546	2568914	1417111	4946	7033	2814042	3121377	2598492	40496	3179792	14787	3453186	3670448	23317	8032	34265	35705	52224	4059	24191	8234	3413988	33367	3241056	3084930	2221446	88312	323726	3141498	95006	1961011	30046	3478344	31602	3674625	3266501	134505	3329112	40013	3064709	29834	2973118	3354380	2144945	3413165	2767589	2240217	5379	2500034	2588762	2959068	3635560	10026	10425	11742	310	492	465	2266	1354	1700	990	5882	1532	1755	1563	2072
GPB:bin_000126	514713	508822	458801	514478	2840	2516	459619	583937	499385	438543	429314	8064	443486	389308	462571	1320	2351	446606	455148	551363	7222	305156	1383	465701	561426	465646	7478	291828	460623	322373	1035	600	475473	539277	474241	4856	493250	2901	602517	607256	4268	1707	4036	7632	15464	739	5221	1314	522603	7789	473898	513113	449562	11478	153164	536076	54490	384406	4527	558285	5392	517335	511798	58071	512848	10088	531033	7614	482906	518760	440942	530844	462149	511758	2425	495698	467370	514548	593912	2148	2779	2151	460	184	0	600	514	370	1588	1076	825	386	177	604
GPB:bin_000127	55669	54118	51305	55748	695	930	50333	52240	53379	53011	48058	1564	54486	47639	49732	0	215	51460	48189	56584	1819	42790	0	55412	55872	57879	126	42187	51824	45800	0	150	56073	52944	51815	1026	53140	867	56502	58582	456	461	2165	902	2768	399	1052	150	54646	1305	54199	51930	52259	2379	24830	57413	9329	48542	555	53801	1451	53137	53250	7273	55812	2702	56113	2392	54185	53866	52468	58591	51257	54199	514	52811	53791	53058	55251	0	221	1203	0	0	150	277	0	0	191	0	0	0	200	0
GPB:bin_000128	4816548	4816736	4817444	4817361	256101	433443	4814921	4817375	4817297	4814933	4812547	587412	4816686	4811131	4817083	56540	191073	4811823	4811822	4818437	795795	4811788	137964	4814756	4806937	4816745	728363	4815492	4812293	4793633	58464	133331	4817411	4817646	4818096	605471	4817540	278793	4813620	4817997	487932	222502	659179	774783	1354520	91652	590796	193856	4818296	563143	4818165	4817535	4815300	1389528	4015551	4817864	2166562	4792693	637841	4818007	624665	4816872	4818171	2396053	4817494	1098287	4816903	743435	4818282	4816851	4814055	4817947	4815246	4817538	126628	4817597	4816223	4816145	4818350	242356	248101	323252	37899	36466	21072	45884	35389	66640	51701	128314	54911	75976	34905	51691
GPB:bin_000129	7820	7780	7545	8883	2094	149	8015	7790	8553	8736	9351	599	8742	8433	8075	0	108	8321	7881	8189	0	7865	1128	8506	8196	8650	450	7648	8294	6810	452	2255	8825	8796	9029	600	8414	0	9232	8267	556	259	867	847	315	150	455	0	8396	1475	7461	9930	8767	5981	5548	8451	3223	8239	150	8904	709	8464	7289	748	9777	1650	9095	1170	7928	9654	8558	8859	7514	8758	0	9201	9196	9217	8347	2147	0	112	122	450	0	0	150	300	0	123	1398	0	0	150
GPB:bin_000130	725114	1694814	1328561	1114939	3042	9725	1290778	1591063	1746378	1005213	606231	10336	717424	1260253	986866	3032	4819	655138	1323606	1153581	14599	1394739	2959	1445095	1591993	1092059	14420	439953	790436	388476	672	2085	859535	1617080	1335452	8131	1253354	5536	2282269	2561424	8437	2670	9325	14382	26260	2575	10269	5646	1187273	11566	1241992	992038	809722	25589	160871	2001378	51519	824536	7733	1738925	11159	1145200	1742430	82270	1506913	16749	567365	9896	1074606	1260613	1986625	2333166	792774	739460	2538	660897	534562	637507	1955199	3831	5835	5034	705	221	968	969	170	1347	1564	2023	1547	2371	759	1093
GPB:bin_000131	4684436	4684135	4684464	4684274	295873	391271	4684462	4684730	4684302	4684487	4684606	651138	4685251	4684363	4684636	69674	176093	4683920	4684667	4684993	893849	4682489	205985	4684547	4682481	4684651	777548	4684894	4684592	4683251	67928	160379	4684928	4684661	4684295	652251	4685034	323177	4684513	4684984	545357	247836	947668	890158	1439041	109834	683511	181900	4684623	586652	4684882	4684634	4685039	1508466	4239320	4684759	2908151	4682555	653335	4684654	815895	4684670	4684928	2965836	4685082	1178216	4685368	826929	4684996	4684958	4684550	4684665	4684697	4684492	135782	4684682	4684717	4684531	4684728	296365	253840	364867	43435	60738	32944	54703	33506	66850	54463	150615	59237	97019	57304	66483
GPB:bin_000132	103823	104034	93445	96179	609	1969	93304	100540	99066	91637	90719	1798	93242	89217	94201	0	1084	91946	89155	103807	5123	79406	1209	98437	100312	104159	3300	68007	96845	83035	0	433	100342	94969	91804	1246	99540	748	101834	101561	1078	564	3723	3523	5474	190	1989	417	95681	1773	99111	93174	96432	4120	54594	107536	18170	91046	2625	107646	3295	99214	97732	26616	107586	4871	99425	3464	96404	93393	97682	99839	92603	95548	486	94940	92705	93893	100993	673	396	288	150	696	0	481	0	0	300	0	0	686	0	282
GPB:bin_000133	135520	150752	119113	128068	2290	1424	131004	149663	132533	114763	100457	2160	122432	103587	116548	572	1301	116930	128494	156036	3341	95805	1101	141484	135263	133193	5097	77142	128183	80759	300	284	128630	152678	130677	3352	149319	631	165532	164804	3018	903	3266	4238	8582	742	4012	719	149457	1691	134254	138559	115300	7081	39075	136383	17686	104330	4525	160391	2934	144017	135434	15943	137911	4311	149297	3262	130199	149193	123770	147084	112865	114717	904	126046	104231	123574	160643	2110	791	1097	0	0	0	199	0	0	0	784	0	592	183	600
GPB:bin_000134	453487	468634	406637	434346	1086	2339	411022	549030	413895	385511	402861	2637	385553	347748	410868	785	1567	394967	405002	485877	6093	266607	1760	431646	509772	429472	6628	236034	407869	262397	205	749	465987	455057	428102	6843	504828	4565	549551	599085	3879	976	5878	8385	11856	300	2884	2292	523005	3962	490911	479068	462952	11807	95594	488543	33951	360366	5137	497178	5638	454745	446615	37150	450174	9091	452839	6224	410977	514933	403253	482996	394911	442334	559	428905	451611	435366	486384	1323	3085	3717	300	300	299	386	124	618	569	625	0	213	267	321
GPB:bin_000135	315727	296907	309466	302762	3636	6335	298834	328677	294736	281076	238205	7460	294887	253669	293704	1335	2933	276049	290519	322566	15351	246096	2804	307598	308011	289214	11966	204546	271133	222170	300	1920	308062	335725	297773	7272	317698	3713	331656	330319	6279	5336	14124	11341	20078	450	9403	3101	311311	11839	303332	307284	270777	19093	161276	316118	66431	247153	10500	316297	9704	293196	311315	85968	330470	17640	302940	15784	299429	296438	279193	309810	290154	288685	3997	297008	283091	292185	327807	3590	7290	3149	157	1140	0	974	300	1013	742	3402	1123	750	0	449
GPB:bin_000136	441334	451585	444990	449376	4879	7181	437541	474196	452603	442087	392717	11163	428045	383841	451067	794	2524	429157	419328	481376	16375	343361	3736	445018	460762	458574	14806	341804	442469	359910	1316	2977	441168	474337	430210	12862	462869	3825	481927	498760	8029	3674	12743	13822	23236	1974	8017	2479	463682	16679	458516	452118	432526	28862	197221	476307	79485	393976	10476	456973	10625	448419	454829	99101	473557	24883	459638	13932	446260	453126	412314	460589	430223	437421	5127	437365	439748	433776	493910	4228	4338	6570	1363	1032	150	300	300	976	897	1092	521	1585	862	1286
GPB:bin_000137	6181	6852	2921	4572	0	150	4653	5800	6141	5581	5034	374	3457	3532	5544	0	0	3764	3340	7328	0	5602	86	4162	2150	3041	0	3784	6938	5083	0	179	6800	3575	5360	0	6341	0	4790	5487	300	0	101	313	0	0	0	0	6421	316	5700	4183	4151	512	2527	4691	582	2323	0	5491	0	4165	3721	1849	5594	1002	7236	268	6603	5699	3794	3663	4344	7386	0	5783	4700	5939	6366	149	0	150	0	0	0	0	0	0	0	0	0	0	0	0
GPB:bin_000138	152482	173019	142397	179588	1382	2746	143448	185612	163893	146796	122338	3518	146286	128064	156383	1108	1182	138514	131126	194727	3506	91030	535	168270	180433	158112	4099	89006	139996	105545	363	785	147013	163077	146740	2079	162080	2008	205511	214263	1578	793	4273	3285	5195	600	2773	816	180904	2956	179475	162935	139255	7616	52495	175447	18931	117534	2060	172909	1772	178366	184901	21677	177874	4345	156011	3722	158575	147954	137310	177567	146708	139905	0	150914	160221	145729	198034	2116	702	1588	119	150	0	0	292	300	557	473	329	150	0	0
GPB:bin_000139	170085	161619	162066	164335	2021	1225	151844	187369	172083	158480	137251	2371	154929	133432	161349	298	659	160097	146968	188584	3193	120907	417	166495	179875	165382	3459	119231	155102	116157	575	817	167232	177575	158736	3147	165327	1162	183482	187197	2427	837	3044	3337	5213	150	2017	506	176651	4153	165254	169050	158195	4876	55746	179586	22645	138645	1991	174600	2295	165652	171437	24382	176233	5774	172888	2989	167055	177077	142293	169077	157844	154562	600	161150	163577	155756	182344	1201	1425	592	300	346	300	0	259	1176	0	285	0	244	148	0
