sequence_id	M301570.lib1	M301571.lib1	M301572.lib1	M301573.lib1	M301574.lib1	M301575.lib1	M301576.lib1	M301577.lib1	M301578.lib1	M301579.lib1	M301580.lib1	M301581.lib1	M301582.lib1	M301583.lib1	M301584.lib1	M301585.lib1	M301586.lib1	M301587.lib1	M301588.lib1	M301589.lib1	M301590.lib1	M301591.lib1	M301592.lib1	M301593.lib1	M301594.lib1	M301595.lib1	M301596.lib1	M301597.lib1	M301598.lib1	M301599.lib1	M301600.lib1	M301601.lib1	M301602.lib1	M301603.lib1	M301604.lib1	M301605.lib1	M301606.lib1	M301607.lib1	M301608.lib1	M301609.lib1	M301610.lib1	M301611.lib1	M301612.lib1	M301613.lib1	M301614.lib1	M301615.lib1	M301616.lib1	M301617.lib1	M301618.lib1	M301619.lib1	M301620.lib1	M301621.lib1	M301622.lib1	M301623.lib1	M301624.lib1	M301625.lib1	M301626.lib1	M301627.lib1	M301628.lib1	M301629.lib1	M301630.lib1	M301631.lib1	M301632.lib1	M301633.lib1	M301634.lib1	M301635.lib1	M301636.lib1	M301637.lib1	M301638.lib1	M301639.lib1	M301640.lib1	M301641.lib1	M301642.lib1	M301643.lib1	M301644.lib1	M301645.lib1	M301646.lib1	M301647.lib1	M301648.lib1	M301649.lib1	M301650.lib1	M301651.lib1	M301652.lib1	M301653.lib1	M301654.lib1	M301655.lib1	M301656.lib1	M301657.lib1	M301658.lib1	M301659.lib1	M301660.lib1	M301661.lib1	M301663.lib1	M301664.lib1
GPB:bin_000180	653837	566544	728240	682423	770	1326	777061	737338	685746	751637	733936	2028	743016	550950	656019	156	649	655623	757380	777597	2993	667240	406	658343	1071799	809607	2522	815632	783797	526695	122	347	843390	710826	864161	1915	763855	1152	1018226	838375	1299	494	1802	1987	5141	226	1360	485	865999	2966	747212	802858	949621	3971	239962	725409	59591	805251	2120	867347	1903	686530	743912	51228	911452	3643	1301063	2256	758512	867087	601740	884749	837643	751680	1795	819706	918557	778660	683730	647	1327	713	105	92	47	140	103	173	136	367	132	222	142	139
GPB:bin_000181	155020	224612	266049	194773	242	317	267251	204517	217824	227746	231350	463	243516	132941	181129	44	232	205912	222722	193467	741	231489	115	203292	404283	304902	649	148375	194073	235543	27	120	263151	236582	245247	470	229641	363	302327	290577	449	184	577	622	1647	59	459	138	272481	613	230555	227081	343726	1100	66553	214810	10669	211274	477	207418	510	186604	244227	15564	312189	1469	293545	901	301724	264103	192501	267522	198199	311488	145	299394	261009	229149	218758	185	369	196	26	46	18	47	36	117	47	128	52	54	27	42
GPB:bin_000182	79895	62946	98148	77409	59	126	93905	95594	94962	117575	91110	271	90044	77065	102346	25	92	91121	88256	123714	443	76421	53	83262	134518	101751	335	87212	114925	76394	15	41	124836	100767	108683	184	86540	148	114973	123936	171	73	271	236	642	23	149	51	95136	454	100700	101702	138450	445	30086	113618	6460	106770	293	102990	226	83448	101803	7869	95267	433	157091	300	87242	130592	81927	124533	117539	84247	102	86150	127856	123249	89565	95	167	100	20	4	11	10	12	13	21	52	8	37	13	15
GPB:bin_000183	689	520	640	527	2	0	689	675	492	675	784	0	750	492	701	0	0	431	664	637	9	479	0	493	996	504	3	286	1761	651	0	0	970	725	687	0	712	0	836	829	1	0	7	2	1	0	0	0	714	1	506	711	839	6	161	799	13	674	6	835	0	738	640	24	594	2	1211	0	637	698	409	848	486	971	0	664	915	807	701	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GPB:bin_000184	2255	2033	2367	2431	1	2	2541	2462	2508	2394	2690	0	2481	2068	2401	0	4	2283	2723	2577	20	2069	2	2268	3590	2843	17	3892	2697	1841	1	2	2748	2657	2843	7	2604	3	3490	2875	6	0	6	10	4	0	0	0	3027	11	2872	2800	3270	26	784	2615	196	2497	5	3294	16	2549	2425	258	3362	9	4617	14	2658	2755	2446	3517	2753	2585	0	2910	2789	2624	2471	2	3	4	0	0	0	0	0	0	0	2	0	0	0	2
GPB:bin_000185	4304	3535	4752	4333	2	6	4419	5291	4445	4742	4622	20	4549	3609	4351	0	4	4338	5170	5029	42	3557	0	3675	6591	5177	26	3600	5315	3265	0	2	5573	4449	5278	4	4585	0	6390	5584	10	4	11	12	30	3	7	6	5740	20	4680	5345	5607	34	1730	4718	324	4799	18	5311	4	4045	4365	260	5336	17	7740	21	4226	4511	4174	5756	4894	4800	2	5140	5907	5374	4095	8	14	9	0	0	0	0	1	2	5	0	0	0	6	0
GPB:bin_000186	83561	45844	76964	74549	100	126	90694	86947	110924	86891	82315	250	84131	66418	71196	12	48	49535	74695	98590	278	67115	42	78743	134345	101965	279	45237	66105	59457	20	76	100361	85292	89403	227	84892	113	102497	102256	186	46	207	185	480	26	152	48	139746	165	80885	90655	80430	399	59183	86720	2468	57706	137	106109	138	65842	82853	4047	64361	450	101692	264	54408	76670	80938	129602	94545	90349	80	88128	91613	65673	74902	71	148	46	18	20	4	16	12	12	16	31	23	17	12	8
GPB:bin_000187	21013	13494	17229	27749	33	43	29229	24238	21935	30403	23774	50	25763	16196	23316	6	18	20276	21015	20272	61	11996	18	11570	35023	22226	60	13098	24280	27354	5	3	28495	17407	32346	68	21449	95	25790	24266	24	11	50	46	114	6	35	10	21027	67	19747	26186	18158	106	8743	24716	1056	15823	65	28555	53	17946	19260	2105	20732	110	33637	110	20469	25131	28376	25377	29385	25046	34	24807	18295	31415	21504	40	12	25	2	2	2	2	2	6	0	30	2	7	4	0
TG1_21:bin_000001	622	507	565	664	0	0	504	529	494	656	619	1	699	539	535	0	1	526	713	684	0	487	0	516	618	684	0	408	651	378	0	2	698	718	634	4	668	0	845	682	0	2	0	2	2	0	0	0	844	6	847	763	640	2	279	635	16	549	0	864	2	536	530	67	848	7	953	2	766	561	613	873	698	627	0	642	442	594	526	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
TG1_21:bin_000012	383	348	449	358	2	0	475	463	459	509	347	2	417	261	455	0	0	502	490	505	0	292	0	440	502	394	1	399	434	357	0	0	533	372	487	0	359	0	553	602	0	3	4	2	2	0	2	0	400	1	493	489	490	2	161	489	12	316	2	636	2	421	503	16	600	3	939	7	412	453	397	620	534	555	0	536	542	640	405	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0
