Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
Sscrofa11.1 | M300811.lib1	16400348	0	0	0	0	0	0	0	177	0	0.0	nan	16400348	0	8200174	0	8200174	0	34	0	0.0	nan	34	0	143	0	0.0	nan	0	0	0	0	16400348
Sscrofa11.1 | M300812.lib1	3288	0	0	0	0	0	0	0	1	0	0.03	nan	3288	0	1644	0	1644	0	0	0	0.0	nan	0	0	1	0	0.03	nan	0	0	0	0	3288
Sscrofa11.1 | M300813.lib1	615680	0	0	0	0	0	0	0	624	0	0.1	nan	615680	0	307840	0	307840	0	574	0	0.09	nan	574	0	50	0	0.01	nan	0	0	0	0	615680
Sscrofa11.1 | M300814.lib1	14617962	0	0	0	0	0	0	0	198	0	0.0	nan	14617962	0	7308981	0	7308981	0	0	0	0.0	nan	0	0	198	0	0.0	nan	0	0	0	0	14617962
Sscrofa11.1 | M300815.lib1	12292858	0	0	0	0	0	0	0	221	0	0.0	nan	12292858	0	6146429	0	6146429	0	8	0	0.0	nan	8	0	213	0	0.0	nan	0	0	0	0	12292858
Sscrofa11.1 | M300816.lib1	18211794	0	0	0	0	0	0	0	209	0	0.0	nan	18211794	0	9105897	0	9105897	0	12	0	0.0	nan	16	0	193	0	0.0	nan	0	0	0	0	18211794
Sscrofa11.1 | M300817.lib1	1030140	0	0	0	0	0	0	0	94	0	0.01	nan	1030140	0	515070	0	515070	0	74	0	0.01	nan	74	0	20	0	0.0	nan	0	0	0	0	1030140
Sscrofa11.1 | M300818.lib1	18232920	0	0	0	0	0	0	0	411	0	0.0	nan	18232920	0	9116460	0	9116460	0	12	0	0.0	nan	12	0	399	0	0.0	nan	0	0	0	0	18232920
Sscrofa11.1 | M300819.lib1	11806508	0	0	0	0	0	0	0	225	0	0.0	nan	11806508	0	5903254	0	5903254	0	24	0	0.0	nan	24	0	201	0	0.0	nan	0	0	0	0	11806508
Sscrofa11.1 | M300820.lib1	11936572	0	0	0	0	0	0	0	107	0	0.0	nan	11936572	0	5968286	0	5968286	0	12	0	0.0	nan	12	0	95	0	0.0	nan	0	0	0	0	11936572
Sscrofa11.1 | M300821.lib1	14521462	0	0	0	0	0	0	0	305	0	0.0	nan	14521462	0	7260731	0	7260731	0	42	0	0.0	nan	42	0	263	0	0.0	nan	0	0	0	0	14521462
