Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
REF0009-mgg-pbdrep | M301069.lib1	12956284.0	0.0	12956284.0	1.0	6478142.0	6478142.0	12013217.0	11920898.0	943067.0	11250186.0	12956284.0	0.0	189568.0	0.0	0.0	0.0	1909354527.0	954673953.0	954680574.0	1770373420.0	1770373420.0	0.0	0.0	10744282.0	0.006068936	147.0	147.0	147.0	150.0	150.0	150.0	39.2	248.6	95.5	5473293.0	367453.0	4992.0	114711.0	86.8	92.72116140708246	92.00861913801828	7.278838592917538	86.83188790860096	100.0	0.0	1.4631355718970038	0.0
REF0009-mgg-pbdrep | M301070.lib1	13116400.0	0.0	13116400.0	1.0	6558200.0	6558200.0	12180500.0	12095690.0	935900.0	11208502.0	13116400.0	0.0	188401.0	0.0	0.0	0.0	1938405079.0	969201614.0	969203465.0	1800166048.0	1800166048.0	0.0	0.0	11359266.0	0.006310121	148.0	148.0	148.0	150.0	150.0	150.0	39.0	245.2	95.6	5561686.0	334121.0	3778.0	148260.0	85.5	92.86465798542282	92.21806288310816	7.13534201457717	85.45410326004087	100.0	0.0	1.4363773596413651	0.0
REF0009-mgg-pbdrep | M301071.lib1	293888.0	0.0	293888.0	1.0	146944.0	146944.0	145245.0	144022.0	148643.0	132580.0	293888.0	0.0	2569.0	0.0	0.0	0.0	42504872.0	21251836.0	21253036.0	21406564.0	21406564.0	0.0	0.0	139807.0	0.006531034	145.0	145.0	145.0	150.0	150.0	150.0	39.0	244.0	97.1	65560.0	4316.0	45.0	2090.0	45.1	49.42188861062718	49.00574368466899	50.57811138937283	45.1124237804878	100.0	0.0	0.8741425304878049	0.0
REF0009-mgg-pbdrep | M301072.lib1	9280416.0	0.0	9280416.0	1.0	4640208.0	4640208.0	8620130.0	8566312.0	660286.0	8293542.0	9280416.0	0.0	130836.0	0.0	0.0	0.0	1376101960.0	688049482.0	688052478.0	1278212412.0	1278212412.0	0.0	0.0	7829790.0	0.006125578	148.0	148.0	148.0	150.0	150.0	150.0	39.1	242.4	82.4	4036327.0	196650.0	1657.0	48522.0	89.4	92.88516807867234	92.30525872978109	7.1148319213276645	89.36605859047698	100.0	0.0	1.4098074913883172	0.0
REF0009-mgg-pbdrep | M301073.lib1	13602076.0	0.0	13602076.0	1.0	6801038.0	6801038.0	12578375.0	12495176.0	1023701.0	11551970.0	13602076.0	0.0	196114.0	0.0	0.0	0.0	1993458979.0	996722939.0	996736040.0	1843529157.0	1843529157.0	0.0	0.0	11529313.0	0.006253935	147.0	147.0	147.0	150.0	150.0	150.0	39.0	236.6	98.3	5602447.0	485274.0	3111.0	156756.0	84.9	92.47393559630163	91.86227161206862	7.526064403698377	84.92799187418156	100.0	0.0	1.4417946201741558	0.0
REF0009-mgg-pbdrep | M301074.lib1	44310.0	0.0	44310.0	1.0	22155.0	22155.0	10040.0	9838.0	34270.0	9418.0	44310.0	0.0	240.0	0.0	0.0	0.0	6284711.0	3142155.0	3142556.0	1465071.0	1465071.0	0.0	0.0	11033.0	0.007530693	142.0	142.0	142.0	150.0	150.0	150.0	39.0	219.8	85.6	4348.0	490.0	19.0	62.0	21.3	22.658542089821708	22.202663055743624	77.34145791017829	21.254795757165425	100.0	0.0	0.5416384563303994	0.0
REF0009-mgg-pbdrep | M301075.lib1	12974640.0	0.0	12974640.0	1.0	6487320.0	6487320.0	12039746.0	11954690.0	934894.0	11113386.0	12974640.0	0.0	187837.0	0.0	0.0	0.0	1924718465.0	962358512.0	962359953.0	1786071454.0	1786071454.0	0.0	0.0	11285201.0	0.006318449	148.0	148.0	148.0	150.0	150.0	150.0	39.0	246.9	92.2	5559116.0	272776.0	3270.0	142183.0	85.7	92.7944513296708	92.1388955685861	7.205548670329195	85.65467712398956	100.0	0.0	1.447724175776746	0.0
REF0009-mgg-pbdrep | M301076.lib1	9437462.0	0.0	9437462.0	1.0	4718731.0	4718731.0	8786618.0	8732770.0	650844.0	8463430.0	9437462.0	0.0	130516.0	0.0	0.0	0.0	1401937644.0	700968302.0	700969342.0	1305294460.0	1305294460.0	0.0	0.0	7905833.0	0.006056743	149.0	149.0	149.0	150.0	150.0	150.0	39.1	239.9	81.5	4125492.0	191985.0	1212.0	47696.0	89.7	93.10361196686144	92.53303483500119	6.89638803313857	89.67908956878449	100.0	0.0	1.3829565618383417	0.0
REF0009-mgg-pbdrep | M301077.lib1	11401058.0	0.0	11401058.0	1.0	5700529.0	5700529.0	10559229.0	10486168.0	841829.0	9763012.0	11401058.0	0.0	163215.0	0.0	0.0	0.0	1683084100.0	841542619.0	841541481.0	1558871043.0	1558871043.0	0.0	0.0	9396083.0	0.006027492	148.0	148.0	148.0	150.0	150.0	150.0	39.2	240.9	94.5	4801059.0	317641.0	3681.0	120703.0	85.6	92.61622035428641	91.9753938625696	7.383779645713583	85.6325088426004	100.0	0.0	1.4315776658622386	0.0
REF0009-mgg-pbdrep | M301078.lib1	129034.0	0.0	129034.0	1.0	64517.0	64517.0	6727.0	6240.0	122307.0	5852.0	129034.0	0.0	450.0	0.0	0.0	0.0	18358766.0	9178322.0	9180444.0	982829.0	982829.0	0.0	0.0	13925.0	0.01416828	142.0	142.0	142.0	150.0	150.0	150.0	39.0	218.4	85.8	2695.0	303.0	65.0	57.0	4.5	5.213354619712634	4.83593471488135	94.78664538028737	4.535238774276547	100.0	0.0	0.34874529193855885	0.0
